Title,Price,Registration Date,Mileage,Fuel Type,Transmission,Engine Size,Doors,Colour,Body Type,URL,Sale Date
 VW Golf 2.0 TDI - not drivable,800.00,2008,89350,Diesel,Manual,2,4,Silver,Hatchback,https://www.ebay.co.uk/itm/234192531241?hash=item3686f66f29:g:n3oAAOSwbhJhRDk4, 19 Sep 2021
VW GOLF GTD TDI 2014 SPECIAL EDITION ,"8,000.00",2014,87000,Diesel,Manual,2,3,Grey,Hatchback,https://www.ebay.co.uk/itm/403146197421?hash=item5ddd62c9ad:g:5AYAAOSwgT5hOhIk, 19 Sep 2021
VW Golf MK5 GT TDI 2.0 Diesel 04 2 Previous owners 5 Door Grey,800.00,2004,121710,Diesel,Manual,2,5,Grey,Hatchback,https://www.ebay.co.uk/itm/133874978853?hash=item1f2b921025:g:MwQAAOSwYblhPboN, 19 Sep 2021
1999 VW Golf 1.9TDI Estate AHU Engine 90HP,925.50,1999,179000,Diesel,Manual,1.9,,Blue,Estate,https://www.ebay.co.uk/itm/165067546157?hash=item266ecade2d:g:F20AAOSwadBhPh9x, 19 Sep 2021
"2013 VW GOLF CONVERTIBLE, FULL SERVICE HISTORY, 20 ANNUAL ROAD, YEAR'S MOT","7,500.00",2013,24495,Diesel,Manual,1.6,3,Black,Convertible,https://www.ebay.co.uk/itm/334146247369?hash=item4dccab1ac9:g:rjgAAOSwbhJhPkCa, 19 Sep 2021
Mk 3 vw golf 1.9 tdi,600.00,1998,235551,Diesel,Manual,1.9,5,Grey,Hatchback,https://www.ebay.co.uk/itm/165080365616?hash=item266f8e7a30:i:165080365616, 19 Sep 2021
"VW Golf GTi MK3 , 2.0 , 8V , 3 door, MOT, 2 owners, 1 Penny start NO RESERVE ",928.55,1996,111067,Petrol,Manual,2,3,Green,Hatchback,https://www.ebay.co.uk/itm/185041637969?hash=item2b15575251:g:Nk0AAOSw4JphOmDD, 19 Sep 2021
RARE 1996 VW Golf SE  AUCTION SALE,280.00,1996,97152,Petrol,Manual,1.3,3,Blue,Hatchback,https://www.ebay.co.uk/itm/144193004668?hash=item219292a47c:g:NfIAAOSwE99hOExk, 19 Sep 2021
2011 VW Golf 1.6 TDI Bluemotion Tech Match 105 - New Timing Belt,"3,850.00",2011,100144,Diesel,Manual,1.6,5,Silver,Hatchback,https://www.ebay.co.uk/itm/284450225916?hash=item423a8dfefc:g:fI8AAOSwxRlhPw0L, 20 Sep 2021
"VOLKSWAGEN Model:	GOLF DIESEL HATCHBACK - 1.9 Match TDI 5dr Year:	2008 Colour:	B",940.00,2008,127562,Diesel,Manual,1.9,5,Black,Hatchback,https://www.ebay.co.uk/itm/284446501118?hash=item423a5528fe:g:ZjUAAOSwfppg2w6J, 20 Sep 2021
